101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	1523	0	2	0	0	2	
101	1523	0	2	0	0	2	
102	1820	1	0	3	0	0	
103	1728	1	0	0	0	0	
104	1856	1	2	0	1	2	
105	2153	2	42	18	11	38	
101	20	1503	2186	0	0	786	
101	20	1503	2186	0	0	786	
102	1118	703	715	0	3	1	
103	369	1360	2090	0	0	728	
104	1204	653	612	0	1	56	
105	2109	46	932	1	28	572	
106	591	1105	1876	4	456	248	
100	1501	401	565	0	1	28	
101	20	1503	2186	0	0	830	
102	1118	703	715	0	3	1	
103	369	1360	2090	0	0	728	
104	1204	653	612	0	1	56	
105	2109	46	932	1	28	572	
106	591	1105	1876	4	456	248	
100	1501	401	565	0	1	28	
101	20	1503	2186	0	0	830	
102	1118	703	715	0	3	1	
103	369	1360	2090	0	0	728	
104	1204	653	612	0	1	56	
105	2109	46	932	1	28	572	
106	591	1105	1876	4	456	248	
107	722	1062	2216	0	57	84	
108	230	1250	1606	0	13	83	
109	2083	16	754	1	31	194	
111	696	1080	1760	0	1	399	
112	2107	4	957	0	0	154	
113	102	1404	2890	0	0	527	
114	232	1372	949	0	30	199	
115	346	1291	1941	0	0	413	
116	1889	128	549	1	97	293	
117	10	1274	2475	0	0	108	
118	1388	528	1168	0	13	147	
119	601	1060	2349	0	364	416	
121	208	1352	1603	0	1	124	
122	2010	44	384	0	0	97	
123	33	1236	2217	0	3	565	
124	49	1318	2122	0	47	539	
200	1793	375	537	222	478	501	
201	464	1057	1393	7	191	187	
202	709	1162	1757	1	14	369	
203	1898	583	658	52	321	138	
205	2162	39	519	22	43	356	
207	570	1022	1221	7	102	69	
208	2159	278	410	597	227	24	
209	2429	90	454	0	1	105	
210	1902	302	317	53	112	21	
212	2279	6	736	0	0	451	
213	2675	25	824	179	16	685	
214	1310	569	982	6	206	598	
215	2600	195	330	41	90	759	
217	941	904	1637	1	139	334	
219	1027	746	1647	2	49	949	
220	252	1442	2229	0	0	403	
